"","Year","Council","","20% most deprived","2","3","4","20% least deprived","All"
"515","2013","Na-h Eileanan Siar","Neighbour disputes","-","6.4","1","*","-","2.7"
"516","2013","North Ayrshire","Neighbour disputes","8","14.5","*","*","*","6"
"517","2013","North Lanarkshire","Neighbour disputes","8.2","5","3.7","*","*","5.4"
"518","2013","Orkney Islands","Neighbour disputes","-","4.4","*","1.3","*","1.7"
"519","2013","Perth & Kinross","Neighbour disputes","*","*","*","2.6","-","5.3"
"520","2013","Renfrewshire","Neighbour disputes","16.6","13.8","6.6","*","*","9.4"
"521","2013","Scotland","Neighbour disputes","12.2","8.1","5.6","3.4","3","6.4"
"522","2013","Scottish Borders","Neighbour disputes","*","*","3.9","4.2","*","4.2"
"523","2013","Shetland Islands","Neighbour disputes","-","*","3.8","-","*","2.7"
"524","2013","South Ayrshire","Neighbour disputes","*","7.2","3.7","*","-","4.4"
"525","2013","South Lanarkshire","Neighbour disputes","16.8","13.3","2.3","5.1","1.3","7.9"
"526","2013","Stirling","Neighbour disputes","*","2.8","*","2.5","-","4"
"527","2013","West Dunbartonshire","Neighbour disputes","12.6","13.8","10.4","*","*","11.1"
"528","2013","West Lothian","Neighbour disputes","*","6.9","13.4","*","*","5.6"
"529","2013","Aberdeen City","Rubbish / litter lying around","*","50.4","25.5","*","19.3","31.5"
"530","2013","Aberdeenshire","Rubbish / litter lying around","*","*","23.7","10.6","10.2","16.3"
"531","2013","Angus","Rubbish / litter lying around","*","*","22.1","15.9","*","20.4"
"532","2013","Argyll & Bute","Rubbish / litter lying around","*","*","15.9","21","*","21.9"
"533","2013","Clackmannanshire","Rubbish / litter lying around","41.9","44","25.7","*","*","31"
"534","2013","Dumfries & Galloway","Rubbish / litter lying around","*","26.1","18.8","14.6","*","21.2"
"535","2013","Dundee City","Rubbish / litter lying around","35.3","28.7","*","*","*","29.6"
"536","2013","East Ayrshire","Rubbish / litter lying around","48.9","40.9","*","*","*","39"
"537","2013","East Dunbartonshire","Rubbish / litter lying around","*","*","*","*","15.4","15.5"
"538","2013","East Lothian","Rubbish / litter lying around","*","33","*","19.3","*","23.2"
"539","2013","East Renfrewshire","Rubbish / litter lying around","*","*","*","*","20.4","21.1"
"540","2013","Edinburgh, City of","Rubbish / litter lying around","48.5","42.4","35.2","30.6","17.9","29.6"
"541","2013","Falkirk","Rubbish / litter lying around","*","12","*","*","*","20.5"
"542","2013","Fife","Rubbish / litter lying around","36.9","21.4","30.3","13.6","19.9","24.2"
"543","2013","Glasgow City","Rubbish / litter lying around","47.9","39.2","42.5","36.2","33.8","43.1"
"544","2013","Highland","Rubbish / litter lying around","*","42.4","22.6","22.3","*","27.9"
"545","2013","Inverclyde","Rubbish / litter lying around","32.6","*","*","*","*","28.1"
"546","2013","Midlothian","Rubbish / litter lying around","*","45.8","30.2","17.7","*","31.1"
"547","2013","Moray","Rubbish / litter lying around","*","*","29.9","25","*","32"
"548","2013","Na-h Eileanan Siar","Rubbish / litter lying around","-","20.9","12.5","*","-","14.9"
"549","2013","North Ayrshire","Rubbish / litter lying around","36.7","28.3","*","*","*","25.3"
"550","2013","North Lanarkshire","Rubbish / litter lying around","28.7","21.9","25.3","*","*","22.5"
"551","2013","Orkney Islands","Rubbish / litter lying around","-","9.2","*","4.6","*","5.3"
"552","2013","Perth & Kinross","Rubbish / litter lying around","*","*","*","16.3","16.6","20"
"553","2013","Renfrewshire","Rubbish / litter lying around","44.2","20.1","20.3","*","*","24.2"
"554","2013","Scotland","Rubbish / litter lying around","41.8","31.2","26.8","18.7","16.2","26.8"
"555","2013","Scottish Borders","Rubbish / litter lying around","*","*","15.8","13.5","*","14.6"
"556","2013","Shetland Islands","Rubbish / litter lying around","-","*","23.4","5.7","*","13.8"
"557","2013","South Ayrshire","Rubbish / litter lying around","*","34.9","16.7","*","23.7","29.4"
"558","2013","South Lanarkshire","Rubbish / litter lying around","40.6","28.1","26.4","14.8","10.1","24.4"
"559","2013","Stirling","Rubbish / litter lying around","*","30.6","*","14.6","8.2","19.2"
"560","2013","West Dunbartonshire","Rubbish / litter lying around","51.7","26.4","32.6","*","*","35.5"
"561","2013","West Lothian","Rubbish / litter lying around","*","25.6","32.8","*","*","21.8"
"562","2013","Aberdeen City","Animal nuisance","*","48","22.5","*","21","31.7"
"563","2013","Aberdeenshire","Animal nuisance","*","*","22","24.1","20.3","26.1"
"564","2013","Angus","Animal nuisance","*","*","36.8","32.1","*","28.2"
"565","2013","Argyll & Bute","Animal nuisance","*","*","31.8","38.1","*","34.1"
"566","2013","Clackmannanshire","Animal nuisance","53.3","40.3","31.8","*","*","37.8"
"567","2013","Dumfries & Galloway","Animal nuisance","*","34.8","31.8","25","*","33.5"
"568","2013","Dundee City","Animal nuisance","35.5","27.9","*","*","*","26.2"
"569","2013","East Ayrshire","Animal nuisance","34","33.7","*","*","*","30.3"
"570","2013","East Dunbartonshire","Animal nuisance","*","*","*","*","26","30.3"
"571","2013","East Lothian","Animal nuisance","*","36.3","*","34.4","*","36.6"
"572","2013","East Renfrewshire","Animal nuisance","*","*","*","*","23.3","20.9"
"573","2013","Edinburgh, City of","Animal nuisance","52.8","39.7","42.9","37","22.9","34.1"
"574","2013","Falkirk","Animal nuisance","*","27.5","*","*","*","25.9"
"575","2013","Fife","Animal nuisance","35.4","32.5","31.5","19","9.3","25.3"
"576","2013","Glasgow City","Animal nuisance","50.9","45.2","32.3","18.3","19.7","40.9"
"577","2013","Highland","Animal nuisance","*","28.4","18.6","26.1","*","23.7"
"578","2013","Inverclyde","Animal nuisance","36.4","*","*","*","*","29.2"
"579","2013","Midlothian","Animal nuisance","*","46.6","34.9","29.8","*","36.8"
"580","2013","Moray","Animal nuisance","*","*","33.7","23.1","*","30.7"
"581","2013","Na-h Eileanan Siar","Animal nuisance","-","28.8","22.2","*","-","24"
"582","2013","North Ayrshire","Animal nuisance","35.7","41","*","*","*","34.4"
"583","2013","North Lanarkshire","Animal nuisance","38.2","25.5","28","*","*","27.1"
"584","2013","Orkney Islands","Animal nuisance","-","20","*","13.5","*","16.2"
"585","2013","Perth & Kinross","Animal nuisance","*","*","*","29.8","18.4","28.2"
"586","2013","Renfrewshire","Animal nuisance","37.9","41.9","30.9","*","*","32.1"
"587","2013","Scotland","Animal nuisance","43.6","35.8","30.7","26.3","20.6","31.3"
"588","2013","Scottish Borders","Animal nuisance","*","*","24.8","21.4","*","26.5"
"589","2013","Shetland Islands","Animal nuisance","-","*","22.9","21.9","*","24.2"
"590","2013","South Ayrshire","Animal nuisance","*","46.6","34.3","*","38.5","37.8"
"591","2013","South Lanarkshire","Animal nuisance","52.4","32.7","36.3","34.7","20.7","35.2"
"592","2013","Stirling","Animal nuisance","*","24.3","*","23.2","14.4","23.7"
"593","2013","West Dunbartonshire","Animal nuisance","49.9","39","41.4","*","*","41.7"
"594","2013","West Lothian","Animal nuisance","*","40.9","36.3","*","*","29.2"
"595","2013","Aberdeen City","Abandoned/burnt out vehicles","*","4.2","1.3","*","-","1.7"
"596","2013","Aberdeenshire","Abandoned/burnt out vehicles","*","*","-","-","-","0.5"
"597","2013","Angus","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"598","2013","Argyll & Bute","Abandoned/burnt out vehicles","*","*","-","-","*","0.2"
"599","2013","Clackmannanshire","Abandoned/burnt out vehicles","2.4","-","-","*","*","0.6"
"600","2013","Dumfries & Galloway","Abandoned/burnt out vehicles","*","-","0.4","-","*","0.5"
"601","2013","Dundee City","Abandoned/burnt out vehicles","2.4","2.6","*","*","*","1.6"
"602","2013","East Ayrshire","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"603","2013","East Dunbartonshire","Abandoned/burnt out vehicles","*","*","*","*","0.5","0.5"
"604","2013","East Lothian","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"605","2013","East Renfrewshire","Abandoned/burnt out vehicles","*","*","*","*","-","0.9"
"606","2013","Edinburgh, City of","Abandoned/burnt out vehicles","9.6","1.1","1.5","1.1","0.9","2.1"
"607","2013","Falkirk","Abandoned/burnt out vehicles","*","-","*","*","*","0.3"
"608","2013","Fife","Abandoned/burnt out vehicles","8.2","1.2","2.9","-","-","2.4"
"609","2013","Glasgow City","Abandoned/burnt out vehicles","2.4","-","0.4","0.7","1","1.3"
"610","2013","Highland","Abandoned/burnt out vehicles","*","-","-","1.3","*","0.4"
"611","2013","Inverclyde","Abandoned/burnt out vehicles","0.8","*","*","*","*","1.5"
"612","2013","Midlothian","Abandoned/burnt out vehicles","*","0.7","2.8","1","*","1"
"613","2013","Moray","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"614","2013","Na-h Eileanan Siar","Abandoned/burnt out vehicles","-","2.1","1.7","*","-","1.8"
"615","2013","North Ayrshire","Abandoned/burnt out vehicles","-","0.9","*","*","*","0.9"
"616","2013","North Lanarkshire","Abandoned/burnt out vehicles","1.2","-","-","*","*","0.4"
"617","2013","Orkney Islands","Abandoned/burnt out vehicles","-","-","*","0.4","*","0.2"
"618","2013","Perth & Kinross","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"619","2013","Renfrewshire","Abandoned/burnt out vehicles","3.7","-","-","*","*","0.9"
"620","2013","Scotland","Abandoned/burnt out vehicles","2.5","1","0.9","0.4","0.3","1"
"621","2013","Scottish Borders","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"622","2013","Shetland Islands","Abandoned/burnt out vehicles","-","*","2.3","1.1","*","1.5"
"623","2013","South Ayrshire","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"624","2013","South Lanarkshire","Abandoned/burnt out vehicles","-","-","-","-","-","-"
"625","2013","Stirling","Abandoned/burnt out vehicles","*","-","*","1.7","-","0.5"
"626","2013","West Dunbartonshire","Abandoned/burnt out vehicles","0.7","6.1","-","*","*","2"
"627","2013","West Lothian","Abandoned/burnt out vehicles","*","3.8","9.7","*","*","3.6"
"628","2013","Aberdeen City","Base","40","70","50","40","110","310"
"629","2013","Aberdeenshire","Base","10","20","80","100","90","300"
"630","2013","Angus","Base","20","40","60","70","30","220"
"631","2013","Argyll & Bute","Base","30","40","90","70","20","250"
"632","2013","Clackmannanshire","Base","70","60","60","50","40","280"
"633","2013","Dumfries & Galloway","Base","20","50","90","60","20","230"
"634","2013","Dundee City","Base","100","50","20","30","40","250"
"635","2013","East Ayrshire","Base","50","70","20","20","30","190"
"636","2013","East Dunbartonshire","Base","10","50","20","50","130","250"
"637","2013","East Lothian","Base","10","60","50","70","40","230"
"638","2013","East Renfrewshire","Base","20","30","20","40","140","260"
"639","2013","Edinburgh, City of","Base","90","110","120","120","320","750"
"640","2013","Falkirk","Base","30","70","40","50","40","240"
"641","2013","Fife","Base","100","110","110","100","90","510"
"642","2013","Glasgow City","Base","470","160","120","100","70","910"
"643","2013","Highland","Base","30","60","90","90","20","300"
"644","2013","Inverclyde","Base","120","30","30","30","30","250"
"645","2013","Midlothian","Base","20","70","50","60","40","240"
"646","2013","Moray","Base","0","30","100","90","30","250"
"647","2013","Na-h Eileanan Siar","Base","-","100","170","10","-","280"
"648","2013","North Ayrshire","Base","100","60","30","40","30","240"
"649","2013","North Lanarkshire","Base","150","120","80","50","30","430"
"650","2013","Orkney Islands","Base","-","60","50","160","10","280"
"651","2013","Perth & Kinross","Base","20","30","40","110","60","270"
"652","2013","Renfrewshire","Base","80","50","60","40","50","270"
"653","2013","Scotland","Base","1890","2020","2150","2100","1760","9920"
"654","2013","Scottish Borders","Base","10","40","90","100","10","250"
"655","2013","Shetland Islands","Base","-","10","100","140","20","260"
"656","2013","South Ayrshire","Base","40","70","50","30","60","250"
"657","2013","South Lanarkshire","Base","90","100","90","60","70","420"
"658","2013","Stirling","Base","20","50","30","80","60","240"
"659","2013","West Dunbartonshire","Base","100","80","60","20","10","270"
"660","2013","West Lothian","Base","50","70","50","50","40","250"
"661","2014","Aberdeen City","Vandalism / graffiti / damage to property","*","21.3","5.4","*","0.9","10.8"
"662","2014","Aberdeenshire","Vandalism / graffiti / damage to property","*","*","-","5.4","0.4","3"
"663","2014","Angus","Vandalism / graffiti / damage to property","*","5.5","9","4","*","5.1"
"664","2014","Argyll & Bute","Vandalism / graffiti / damage to property","*","3.2","7.7","2.9","*","5.7"
"665","2014","Clackmannanshire","Vandalism / graffiti / damage to property","6.5","17","5.1","*","*","7.2"
"666","2014","Dumfries & Galloway","Vandalism / graffiti / damage to property","*","4.5","4.2","-","*","3.6"
"667","2014","Dundee City","Vandalism / graffiti / damage to property","25.2","9.7","*","*","*","14.8"
"668","2014","East Ayrshire","Vandalism / graffiti / damage to property","25.1","11.9","*","*","*","12.1"
"669","2014","East Dunbartonshire","Vandalism / graffiti / damage to property","*","*","*","*","2.4","3.8"
"670","2014","East Lothian","Vandalism / graffiti / damage to property","*","*","*","3.5","*","1.9"
"671","2014","East Renfrewshire","Vandalism / graffiti / damage to property","*","*","*","*","4","7.3"
"672","2014","Edinburgh, City of","Vandalism / graffiti / damage to property","25.4","23.2","10.3","12.3","4","11.7"
"673","2014","Falkirk","Vandalism / graffiti / damage to property","*","8.4","2","*","*","5"
"674","2014","Fife","Vandalism / graffiti / damage to property","17.2","6.5","3.4","2.6","-","5.9"
"675","2014","Glasgow City","Vandalism / graffiti / damage to property","19.9","13.3","13.4","6.2","4.3","15.1"
"676","2014","Highland","Vandalism / graffiti / damage to property","*","4.8","3.6","1","*","4.7"
"677","2014","Inverclyde","Vandalism / graffiti / damage to property","14.6","*","*","*","*","9.9"
"678","2014","Midlothian","Vandalism / graffiti / damage to property","*","20.1","*","*","*","11.8"
"679","2014","Moray","Vandalism / graffiti / damage to property","*","*","5.1","6.4","*","5.2"
"680","2014","Na-h Eileanan Siar","Vandalism / graffiti / damage to property","-","3.6","0.4","*","-","1.4"
"681","2014","North Ayrshire","Vandalism / graffiti / damage to property","23.5","10.7","*","*","*","12.4"
"682","2014","North Lanarkshire","Vandalism / graffiti / damage to property","13.5","10.3","4.8","1.7","*","8.1"
"683","2014","Orkney Islands","Vandalism / graffiti / damage to property","-","0.9","*","3.8","*","2.3"
"684","2014","Perth & Kinross","Vandalism / graffiti / damage to property","*","*","*","4.9","-","4.8"
"685","2014","Renfrewshire","Vandalism / graffiti / damage to property","28.2","*","*","*","*","11.7"
"686","2014","Scotland","Vandalism / graffiti / damage to property","19.1","10.4","6.2","4.5","1.8","8.4"
"687","2014","Scottish Borders","Vandalism / graffiti / damage to property","*","*","2.4","1.5","*","2.7"
"688","2014","Shetland Islands","Vandalism / graffiti / damage to property","-","*","5.5","0.7","*","2.4"
"689","2014","South Ayrshire","Vandalism / graffiti / damage to property","*","5.2","*","*","*","7"
"690","2014","South Lanarkshire","Vandalism / graffiti / damage to property","13.9","9.7","8.5","2","3.3","7.9"
"691","2014","Stirling","Vandalism / graffiti / damage to property","*","5.7","*","5.9","-","4.9"
"692","2014","West Dunbartonshire","Vandalism / graffiti / damage to property","17.6","13.8","10.6","*","*","13.5"
"693","2014","West Lothian","Vandalism / graffiti / damage to property","*","8.1","*","*","*","4.5"
"694","2014","Aberdeen City","Groups or individual harassing others","*","12.4","6.2","*","2.4","6.6"
"695","2014","Aberdeenshire","Groups or individual harassing others","*","*","-","1.7","-","1.7"
"696","2014","Angus","Groups or individual harassing others","*","7.8","-","0.6","*","1.9"
"697","2014","Argyll & Bute","Groups or individual harassing others","*","5.7","3.9","6.7","*","5.2"
"698","2014","Clackmannanshire","Groups or individual harassing others","5.8","16.6","6.2","*","*","7"
"699","2014","Dumfries & Galloway","Groups or individual harassing others","*","10.3","1.5","3.8","*","4.2"
"700","2014","Dundee City","Groups or individual harassing others","20.5","6.9","*","*","*","10.2"
"701","2014","East Ayrshire","Groups or individual harassing others","16.3","8.6","*","*","*","9.2"
"702","2014","East Dunbartonshire","Groups or individual harassing others","*","*","*","*","1.4","1.3"
"703","2014","East Lothian","Groups or individual harassing others","*","*","*","-","*","2.7"
"704","2014","East Renfrewshire","Groups or individual harassing others","*","*","*","*","2.2","6.5"
"705","2014","Edinburgh, City of","Groups or individual harassing others","22.6","12.4","5.4","2.6","2.8","7"
"706","2014","Falkirk","Groups or individual harassing others","*","11.1","2","*","*","5.7"
"707","2014","Fife","Groups or individual harassing others","19.7","7","1.4","2.6","1.7","6.3"
"708","2014","Glasgow City","Groups or individual harassing others","14","5.9","9.8","4.5","0.8","9.9"
"709","2014","Highland","Groups or individual harassing others","*","3.6","1.7","2.7","*","4.3"
"710","2014","Inverclyde","Groups or individual harassing others","11.4","*","*","*","*","8.5"
"711","2014","Midlothian","Groups or individual harassing others","*","6.3","*","*","*","7.5"
"712","2014","Moray","Groups or individual harassing others","*","*","11.2","2.6","*","6.1"
"713","2014","Na-h Eileanan Siar","Groups or individual harassing others","-","0.9","0.4","*","-","0.5"
"714","2014","North Ayrshire","Groups or individual harassing others","11.1","9.2","*","*","*","7.1"
"715","2014","North Lanarkshire","Groups or individual harassing others","18","11.7","3.2","-","*","9.3"
"716","2014","Orkney Islands","Groups or individual harassing others","-","0.9","*","2.5","*","1.6"
"717","2014","Perth & Kinross","Groups or individual harassing others","*","*","*","2.7","2.2","4"
"718","2014","Renfrewshire","Groups or individual harassing others","19.9","*","*","*","*","6.9"
"719","2014","Scotland","Groups or individual harassing others","15.1","8","4.4","2.4","1.6","6.3"
"720","2014","Scottish Borders","Groups or individual harassing others","*","*","5.7","2.9","*","4.1"
"721","2014","Shetland Islands","Groups or individual harassing others","-","*","2.7","1.8","*","2"
"722","2014","South Ayrshire","Groups or individual harassing others","*","3.5","*","*","*","5.8"
"723","2014","South Lanarkshire","Groups or individual harassing others","8.6","9.3","2.2","0.6","2.7","5"
"724","2014","Stirling","Groups or individual harassing others","*","1.2","*","2.5","1.3","2.9"
"725","2014","West Dunbartonshire","Groups or individual harassing others","14.2","9.5","5.7","*","*","10"
"726","2014","West Lothian","Groups or individual harassing others","*","6","*","*","*","5.6"
"727","2014","Aberdeen City","Drugs misuse","*","22.3","11.7","*","2.2","12.3"
"728","2014","Aberdeenshire","Drugs misuse","*","*","7.3","0.5","1.7","4.7"
"729","2014","Angus","Drugs misuse","*","22.2","12.5","1.7","*","10.1"
"730","2014","Argyll & Bute","Drugs misuse","*","25.9","10.1","13.2","*","19.2"
"731","2014","Clackmannanshire","Drugs misuse","19.4","28.9","8.3","*","*","14.1"
"732","2014","Dumfries & Galloway","Drugs misuse","*","25.7","10.2","9.7","*","14.8"
"733","2014","Dundee City","Drugs misuse","42","16","*","*","*","20.8"
"734","2014","East Ayrshire","Drugs misuse","43","26.4","*","*","*","22.2"
"735","2014","East Dunbartonshire","Drugs misuse","*","*","*","*","-","3.5"
"736","2014","East Lothian","Drugs misuse","*","*","*","8.1","*","7.2"
"737","2014","East Renfrewshire","Drugs misuse","*","*","*","*","3.9","9.6"
"738","2014","Edinburgh, City of","Drugs misuse","23.3","28.3","15.4","7.7","1.3","11"
"739","2014","Falkirk","Drugs misuse","*","12.5","-","*","*","6.1"
"740","2014","Fife","Drugs misuse","32.7","9.5","8.3","5","-","11"
"741","2014","Glasgow City","Drugs misuse","22.2","7.1","5.7","3","3.1","13.6"
"742","2014","Highland","Drugs misuse","*","4.9","5","1.8","*","5.8"
"743","2014","Inverclyde","Drugs misuse","23.2","*","*","*","*","11.6"
"744","2014","Midlothian","Drugs misuse","*","22.8","*","*","*","15"
"745","2014","Moray","Drugs misuse","*","*","7.9","5.7","*","8.9"
"746","2014","Na-h Eileanan Siar","Drugs misuse","-","-","0.7","*","-","0.5"
"747","2014","North Ayrshire","Drugs misuse","33.4","11.5","*","*","*","16.7"
"748","2014","North Lanarkshire","Drugs misuse","20.6","7.6","8.9","3.1","*","10.7"
"749","2014","Orkney Islands","Drugs misuse","-","1.6","*","0.7","*","1.1"
"750","2014","Perth & Kinross","Drugs misuse","*","*","*","4.4","2.6","7.8"
"751","2014","Renfrewshire","Drugs misuse","37.8","*","*","*","*","16.2"
"752","2014","Scotland","Drugs misuse","26.6","15.2","9","4.4","1.6","11.3"
"753","2014","Scottish Borders","Drugs misuse","*","*","4.9","5.4","*","7.8"
"754","2014","Shetland Islands","Drugs misuse","-","*","12.2","11.6","*","11.1"
"755","2014","South Ayrshire","Drugs misuse","*","12.7","*","*","*","8"
"756","2014","South Lanarkshire","Drugs misuse","15","13.8","11.4","3.4","3.3","10"
"757","2014","Stirling","Drugs misuse","*","9.4","*","10.8","1.3","8.7"
"758","2014","West Dunbartonshire","Drugs misuse","31","20.8","13.8","*","*","20.9"
"759","2014","West Lothian","Drugs misuse","*","15.1","*","*","*","11.8"
"760","2014","Aberdeen City","Rowdy behaviour","*","21.7","8.4","*","6.2","13"
"761","2014","Aberdeenshire","Rowdy behaviour","*","*","4","6","2.7","5.5"
"762","2014","Angus","Rowdy behaviour","*","24.8","7.7","4","*","10.3"
"763","2014","Argyll & Bute","Rowdy behaviour","*","20.4","3.8","9.4","*","11.5"
"764","2014","Clackmannanshire","Rowdy behaviour","22.9","25.3","7.4","*","*","14.3"
"765","2014","Dumfries & Galloway","Rowdy behaviour","*","27.7","5.8","6.6","*","10.6"
"766","2014","Dundee City","Rowdy behaviour","30","10.3","*","*","*","19.6"
"767","2014","East Ayrshire","Rowdy behaviour","35","12.6","*","*","*","14.1"
"768","2014","East Dunbartonshire","Rowdy behaviour","*","*","*","*","2.2","5.2"
"769","2014","East Lothian","Rowdy behaviour","*","*","*","6.5","*","9.5"
"770","2014","East Renfrewshire","Rowdy behaviour","*","*","*","*","5.4","9.5"
"771","2014","Edinburgh, City of","Rowdy behaviour","33.7","29","22","17.3","9.2","18.3"
"772","2014","Falkirk","Rowdy behaviour","*","12.9","3.3","*","*","7.3"
"773","2014","Fife","Rowdy behaviour","32.6","7.6","6.5","3.8","0.7","10.1"
"774","2014","Glasgow City","Rowdy behaviour","20.5","12.6","14.1","9","5.5","15.8"
"775","2014","Highland","Rowdy behaviour","*","5.3","1.2","2.6","*","4.4"
"776","2014","Inverclyde","Rowdy behaviour","19.8","*","*","*","*","11.2"
"777","2014","Midlothian","Rowdy behaviour","*","15.1","*","*","*","13.2"
"778","2014","Moray","Rowdy behaviour","*","*","10.9","5.6","*","8.3"
"779","2014","Na-h Eileanan Siar","Rowdy behaviour","-","3.3","2.6","*","-","2.8"
"780","2014","North Ayrshire","Rowdy behaviour","16.2","7.9","*","*","*","8.6"
"781","2014","North Lanarkshire","Rowdy behaviour","23.6","16.3","8.6","4.8","*","14"
"782","2014","Orkney Islands","Rowdy behaviour","-","3.1","*","3.2","*","2.8"
"783","2014","Perth & Kinross","Rowdy behaviour","*","*","*","3","4.8","8.5"
"784","2014","Renfrewshire","Rowdy behaviour","32.4","*","*","*","*","13.3"
"785","2014","Scotland","Rowdy behaviour","24.5","14.3","9.2","5.8","4.6","11.7"
"786","2014","Scottish Borders","Rowdy behaviour","*","*","4","1.4","*","4.3"
"787","2014","Shetland Islands","Rowdy behaviour","-","*","9.1","7","*","7.6"
"788","2014","South Ayrshire","Rowdy behaviour","*","5.7","*","*","*","7.3"
"789","2014","South Lanarkshire","Rowdy behaviour","22.7","12.9","10.9","6.6","-","11.2"
"790","2014","Stirling","Rowdy behaviour","*","11.8","*","6.8","5.3","13.7"
"791","2014","West Dunbartonshire","Rowdy behaviour","35","14.9","11.5","*","*","20.3"
"792","2014","West Lothian","Rowdy behaviour","*","16","*","*","*","8.2"
"793","2014","Aberdeen City","Noisy neighbours/regular loud parties","*","19.4","6","*","2.9","9.7"
"794","2014","Aberdeenshire","Noisy neighbours/regular loud parties","*","*","2.7","4.7","4.7","5.4"
"795","2014","Angus","Noisy neighbours/regular loud parties","*","22.8","5.5","2.4","*","8.3"
"796","2014","Argyll & Bute","Noisy neighbours/regular loud parties","*","13.2","9.1","4","*","8.7"
"797","2014","Clackmannanshire","Noisy neighbours/regular loud parties","17.6","30.1","7.3","*","*","13.5"
"798","2014","Dumfries & Galloway","Noisy neighbours/regular loud parties","*","6.3","2.5","5.4","*","4.4"
"799","2014","Dundee City","Noisy neighbours/regular loud parties","26.7","16.7","*","*","*","19"
"800","2014","East Ayrshire","Noisy neighbours/regular loud parties","29.3","11.8","*","*","*","12.8"
"801","2014","East Dunbartonshire","Noisy neighbours/regular loud parties","*","*","*","*","1.8","6.5"
"802","2014","East Lothian","Noisy neighbours/regular loud parties","*","*","*","3.6","*","5.7"
"803","2014","East Renfrewshire","Noisy neighbours/regular loud parties","*","*","*","*","2","5.5"
"804","2014","Edinburgh, City of","Noisy neighbours/regular loud parties","24.6","18","12.8","13.9","9.6","13.9"
"805","2014","Falkirk","Noisy neighbours/regular loud parties","*","10.9","6","*","*","7.3"
"806","2014","Fife","Noisy neighbours/regular loud parties","29.3","19.5","1.9","12.1","2.1","12.9"
"807","2014","Glasgow City","Noisy neighbours/regular loud parties","21.3","15.8","19","14.8","11.2","18.5"
"808","2014","Highland","Noisy neighbours/regular loud parties","*","7.6","8.9","4","*","8.4"
"809","2014","Inverclyde","Noisy neighbours/regular loud parties","12.3","*","*","*","*","7.4"
"810","2014","Midlothian","Noisy neighbours/regular loud parties","*","19.7","*","*","*","12.1"
"811","2014","Moray","Noisy neighbours/regular loud parties","*","*","6.5","0.9","*","6"
"812","2014","Na-h Eileanan Siar","Noisy neighbours/regular loud parties","-","8.1","2.9","*","-","4.6"
"813","2014","North Ayrshire","Noisy neighbours/regular loud parties","20.4","12","*","*","*","12"
"814","2014","North Lanarkshire","Noisy neighbours/regular loud parties","14.3","8","3.9","6.9","*","8.3"
"815","2014","Orkney Islands","Noisy neighbours/regular loud parties","-","-","*","4","*","2.9"
"816","2014","Perth & Kinross","Noisy neighbours/regular loud parties","*","*","*","8.5","4.4","9.2"
"817","2014","Renfrewshire","Noisy neighbours/regular loud parties","28.6","*","*","*","*","12.6"
"818","2014","Scotland","Noisy neighbours/regular loud parties","21.1","13.6","7.5","6.3","5.1","10.7"
"819","2014","Scottish Borders","Noisy neighbours/regular loud parties","*","*","9.2","5.2","*","7.2"
"820","2014","Shetland Islands","Noisy neighbours/regular loud parties","-","*","5.5","3.8","*","4.8"
"821","2014","South Ayrshire","Noisy neighbours/regular loud parties","*","14","*","*","*","8.7"
"822","2014","South Lanarkshire","Noisy neighbours/regular loud parties","13.8","12.3","7.1","2.9","1.6","8.1"
"823","2014","Stirling","Noisy neighbours/regular loud parties","*","7.2","*","6","12.7","9.1"
"824","2014","West Dunbartonshire","Noisy neighbours/regular loud parties","24.4","16.2","6.8","*","*","15.7"
"825","2014","West Lothian","Noisy neighbours/regular loud parties","*","10.9","*","*","*","7.7"
"826","2014","Aberdeen City","Neighbour disputes","*","11.2","2.7","*","-","4.4"
"827","2014","Aberdeenshire","Neighbour disputes","*","*","-","1.8","2","2.2"
"828","2014","Angus","Neighbour disputes","*","11","3.2","1.9","*","4.1"
"829","2014","Argyll & Bute","Neighbour disputes","*","17.4","3.9","5.9","*","8"
"830","2014","Clackmannanshire","Neighbour disputes","9.9","10.3","1.5","*","*","5.2"
"831","2014","Dumfries & Galloway","Neighbour disputes","*","6.1","2.5","4.7","*","3.4"
"832","2014","Dundee City","Neighbour disputes","17.3","7.4","*","*","*","9"
"833","2014","East Ayrshire","Neighbour disputes","25.5","11.7","*","*","*","12.2"
"834","2014","East Dunbartonshire","Neighbour disputes","*","*","*","*","-","2.8"
"835","2014","East Lothian","Neighbour disputes","*","*","*","2.9","*","3.5"
"836","2014","East Renfrewshire","Neighbour disputes","*","*","*","*","2.2","5.1"
"837","2014","Edinburgh, City of","Neighbour disputes","18.7","9.4","5","6.5","2.9","6.7"
"838","2014","Falkirk","Neighbour disputes","*","8","1.6","*","*","6.3"
"839","2014","Fife","Neighbour disputes","21.4","10.9","3.5","5.7","-","8.3"
"840","2014","Glasgow City","Neighbour disputes","9.3","8.2","9.6","8.4","7.7","8.9"
